user_id,audio_1,audio_2,rt,StimID,Category,Species,Trait,AnimalStrength,correct,GoodAudio,BadAudio,date,musicEnjoy,musicListen,gender,age,country,language,musicSkill,musicMakeTime,musicLessons,musicListenTime,education,expert,lessonsPeers,musicTheory,income
2341,animalSounds_019,animalSounds_020,382,j,Insect,Pacific field cricket,Complexity,80,1,animalSounds_019,animalSounds_020,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2341,animalSounds_073,animalSounds_072,425,mmm,Frog,Green tree frog,Rate,77,1,animalSounds_073,animalSounds_072,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2341,animalSounds_166,animalSounds_158,1343,xyz,Bird,Song sparrow,Individuals,69,0,animalSounds_166,animalSounds_158,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2341,animalSounds_115,animalSounds_113,816,lm,Bird,Canary,Adornment,90,1,animalSounds_115,animalSounds_113,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2341,animalSounds_142,animalSounds_143,375,cde,Bird,Swamp sparrow,Development,64,0,animalSounds_142,animalSounds_143,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2341,animalSounds_168,animalSounds_169,319,pqr,Bird,Song sparrow,Individuals,82,0,animalSounds_168,animalSounds_169,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2341,animalSounds_034,animalSounds_031,1127,x,Frog,Tungara frog,Adornment,76,1,animalSounds_034,animalSounds_031,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2341,animalSounds_025,animalSounds_026,575,m,Insect,Pacific field cricket,Complexity,80,1,animalSounds_025,animalSounds_026,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2341,animalSounds_078,animalSounds_079,929,rrr,Mammal,Gelada,Complexity,55,0,animalSounds_078,animalSounds_079,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2341,animalSounds_034,animalSounds_032,685,v,Frog,Tungara frog,Adornment,92,1,animalSounds_034,animalSounds_032,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2341,animalSounds_092,animalSounds_093,503,yyy,Mammal,Gelada,Complexity,55,0,animalSounds_092,animalSounds_093,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2341,animalSounds_124,animalSounds_125,742,st,Mammal,Singing mouse,Rate,78,1,animalSounds_124,animalSounds_125,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2341,animalSounds_023,animalSounds_024,431,l,Insect,Pacific field cricket,Complexity,80,1,animalSounds_023,animalSounds_024,9/6/2023 16:39,1000,348,Male,33,Chile,Spanish,NA,NA,NA,NA,Completed undergrad degree<br>(~3-5 years higher education),1,NA,NA,NA
2350,animalSounds_033,animalSounds_031,2510,w,Frog,Tungara frog,Adornment,60,0,animalSounds_033,animalSounds_031,9/6/2023 17:51,827,243,Male,40,Hungary,Hungarian,NA,NA,NA,NA,Completed graduate school,0,NA,NA,NA
2350,animalSounds_013,animalSounds_014,2367,g,Insect,Bow-winged grasshopper,Rate,71,1,animalSounds_013,animalSounds_014,9/6/2023 17:51,827,243,Male,40,Hungary,Hungarian,NA,NA,NA,NA,Completed graduate school,0,NA,NA,NA
2350,animalSounds_100,animalSounds_101,1634,cd,Mammal,Gelada,Complexity,55,0,animalSounds_100,animalSounds_101,9/6/2023 17:51,827,243,Male,40,Hungary,Hungarian,NA,NA,NA,NA,Completed graduate school,0,NA,NA,NA
2350,animalSounds_156,animalSounds_157,1218,jkl,Bird,Song sparrow,Individuals,82,1,animalSounds_156,animalSounds_157,9/6/2023 17:51,827,243,Male,40,Hungary,Hungarian,NA,NA,NA,NA,Completed graduate school,0,NA,NA,NA
2350,animalSounds_078,animalSounds_079,2080,rrr,Mammal,Gelada,Complexity,55,1,animalSounds_078,animalSounds_079,9/6/2023 17:51,827,243,Male,40,Hungary,Hungarian,NA,NA,NA,NA,Completed graduate school,0,NA,NA,NA
2350,animalSounds_023,animalSounds_024,804,l,Insect,Pacific field cricket,Complexity,80,1,animalSounds_023,animalSounds_024,9/6/2023 17:51,827,243,Male,40,Hungary,Hungarian,NA,NA,NA,NA,Completed graduate school,0,NA,NA,NA
2350,animalSounds_073,animalSounds_072,1032,mmm,Frog,Green tree frog,Rate,77,1,animalSounds_073,animalSounds_072,9/6/2023 17:51,827,243,Male,40,Hungary,Hungarian,NA,NA,NA,NA,Completed graduate school,0,NA,NA,NA
2350,animalSounds_007,animalSounds_008,1083,d,Frog,Gray treefrog,Rate,NA,0,animalSounds_007,animalSounds_008,9/6/2023 17:51,827,243,Male,40,Hungary,Hungarian,NA,NA,NA,NA,Completed graduate school,0,NA,NA,NA
2350,animalSounds_015,animalSounds_016,1175,h,Insect,Bow-winged grasshopper,AmplitudeModulation,93,0,animalSounds_015,animalSounds_016,9/6/2023 17:51,827,243,Male,40,Hungary,Hungarian,NA,NA,NA,NA,Completed graduate school,0,NA,NA,NA
